© Logic Energy Ltd. LeWL v5.4.1sd
Date,Time,Direction,Temp.ºC,Wind1avg m/s,Wind1max m/s,Wind1std m/s,Wind2avg m/s,Wind2max m/s,Wind2std m/s
01-11-13,00:00:36,67.5,2.25,5.43,6.24,0.42,0.00,0.00,0.00
01-11-13,00:01:36,67.5,2.25,4.78,7.24,1.30,0.00,0.00,0.00
01-11-13,00:02:36,67.5,2.25,3.86,5.83,1.10,0.00,0.00,0.00
01-11-13,00:03:36,67.5,2.25,4.11,5.63,0.88,0.00,0.00,0.00
01-11-13,00:04:36,67.5,2.50,5.06,7.65,1.27,0.00,0.00,0.00
01-11-13,00:05:36,67.5,2.50,4.69,6.84,1.25,0.00,0.00,0.00
01-11-13,00:06:36,67.5,2.50,5.16,7.44,1.18,0.00,0.00,0.00
01-11-13,00:07:36,67.5,2.50,4.29,6.24,1.19,0.00,0.00,0.00
01-11-13,00:08:36,67.5,2.50,4.59,6.24,0.99,0.00,0.00,0.00
01-11-13,00:09:36,67.5,2.50,6.59,8.05,0.85,0.00,0.00,0.00
01-11-13,00:10:36,67.5,2.50,4.23,8.05,1.93,0.00,0.00,0.00
01-11-13,00:11:36,67.5,2.50,3.50,4.63,0.93,0.00,0.00,0.00
01-11-13,00:12:36,67.5,2.75,3.94,5.23,1.22,0.00,0.00,0.00
01-11-13,00:13:36,67.5,2.75,3.66,6.84,1.62,0.00,0.00,0.00
01-11-13,00:14:36,67.5,2.75,4.48,6.64,1.47,0.00,0.00,0.00
01-11-13,00:15:36,67.5,2.75,4.66,6.04,1.10,0.00,0.00,0.00
01-11-13,00:16:36,67.5,2.75,4.23,6.04,1.06,0.00,0.00,0.00
01-11-13,00:17:36,67.5,2.75,5.08,7.04,1.21,0.00,0.00,0.00
01-11-13,00:18:36,67.5,2.75,6.86,8.45,0.96,0.00,0.00,0.00
01-11-13,00:19:36,67.5,2.75,3.99,4.83,0.73,0.00,0.00,0.00
01-11-13,00:20:36,67.5,2.75,4.04,6.24,1.17,0.00,0.00,0.00
01-11-13,00:21:36,67.5,3.00,4.43,5.63,0.66,0.00,0.00,0.00
01-11-13,00:22:36,67.5,2.75,4.53,5.83,0.78,0.00,0.00,0.00
01-11-13,00:23:36,67.5,2.75,3.55,5.03,0.71,0.00,0.00,0.00
01-11-13,00:24:36,67.5,3.00,4.43,6.24,1.61,0.00,0.00,0.00
01-11-13,00:25:36,67.5,3.00,3.74,5.43,0.87,0.00,0.00,0.00
01-11-13,00:26:36,67.5,3.00,3.57,4.83,0.95,0.00,0.00,0.00
01-11-13,00:27:36,67.5,3.00,3.86,4.83,0.55,0.00,0.00,0.00
01-11-13,00:28:36,67.5,3.00,5.53,6.44,0.87,0.00,0.00,0.00
01-11-13,00:29:36,67.5,3.00,5.11,6.64,1.10,0.00,0.00,0.00
01-11-13,00:30:36,67.5,3.00,4.71,6.84,1.00,0.00,0.00,0.00
01-11-13,00:31:36,67.5,3.00,5.15,6.84,0.88,0.00,0.00,0.00
01-11-13,00:32:36,67.5,3.00,4.53,7.44,1.39,0.00,0.00,0.00
01-11-13,00:33:36,67.5,3.00,3.12,5.03,1.04,0.00,0.00,0.00
01-11-13,00:34:36,67.5,3.00,5.23,7.04,1.01,0.00,0.00,0.00
01-11-13,00:35:36,67.5,3.00,4.44,6.04,1.37,0.00,0.00,0.00
01-11-13,00:36:36,67.5,3.00,3.81,5.23,0.84,0.00,0.00,0.00
01-11-13,00:37:36,67.5,3.00,5.26,7.24,1.28,0.00,0.00,0.00
01-11-13,00:38:36,67.5,3.00,4.19,6.64,1.09,0.00,0.00,0.00
01-11-13,00:39:36,67.5,3.00,3.92,5.43,1.14,0.00,0.00,0.00
01-11-13,00:40:36,67.5,3.00,4.28,6.64,1.44,0.00,0.00,0.00
01-11-13,00:41:36,67.5,3.00,4.24,6.24,1.13,0.00,0.00,0.00
01-11-13,00:42:36,67.5,3.00,4.54,7.24,1.15,0.00,0.00,0.00
01-11-13,00:43:36,67.5,3.00,4.68,6.44,0.87,0.00,0.00,0.00
01-11-13,00:44:36,67.5,3.00,6.14,8.65,1.90,0.00,0.00,0.00
01-11-13,00:45:36,67.5,3.00,4.56,6.04,1.02,0.00,0.00,0.00
01-11-13,00:46:36,67.5,3.00,4.24,5.83,1.08,0.00,0.00,0.00
01-11-13,00:47:36,67.5,3.00,3.45,5.63,1.07,0.00,0.00,0.00
01-11-13,00:48:36,67.5,3.00,3.32,5.43,1.05,0.00,0.00,0.00
01-11-13,00:49:36,67.5,3.00,4.90,7.04,1.29,0.00,0.00,0.00
01-11-13,00:50:36,67.5,3.00,4.44,6.44,0.90,0.00,0.00,0.00
01-11-13,00:51:36,67.5,3.00,4.11,5.83,0.96,0.00,0.00,0.00
01-11-13,00:52:36,67.5,3.00,3.92,6.64,1.50,0.00,0.00,0.00
01-11-13,00:53:36,67.5,3.00,4.66,6.24,0.84,0.00,0.00,0.00
01-11-13,00:54:36,67.5,3.00,4.69,6.04,1.10,0.00,0.00,0.00
01-11-13,00:55:36,67.5,3.00,3.81,5.03,0.73,0.00,0.00,0.00
01-11-13,00:56:36,67.5,3.00,4.51,5.63,0.63,0.00,0.00,0.00
01-11-13,00:57:36,67.5,3.00,3.66,4.83,0.61,0.00,0.00,0.00
01-11-13,00:58:36,67.5,3.00,3.82,4.83,0.71,0.00,0.00,0.00
01-11-13,00:59:36,67.5,3.00,4.26,5.03,0.62,0.00,0.00,0.00
01-11-13,01:00:36,67.5,3.00,4.23,4.83,0.36,0.00,0.00,0.00
01-11-13,01:01:36,67.5,3.00,4.23,5.83,0.91,0.00,0.00,0.00
01-11-13,01:02:36,67.5,3.00,3.89,5.03,0.68,0.00,0.00,0.00
01-11-13,01:03:36,67.5,3.00,3.52,5.43,0.92,0.00,0.00,0.00
01-11-13,01:04:36,67.5,3.00,3.86,5.03,0.90,0.00,0.00,0.00
01-11-13,01:05:36,67.5,3.00,3.03,4.23,0.72,0.00,0.00,0.00
01-11-13,01:06:36,67.5,3.00,2.80,3.42,0.46,0.00,0.00,0.00
01-11-13,01:07:36,67.5,3.00,2.93,3.62,0.40,0.00,0.00,0.00
01-11-13,01:08:36,67.5,3.00,2.88,3.62,0.36,0.00,0.00,0.00
01-11-13,01:09:36,67.5,3.00,2.78,3.62,0.41,0.00,0.00,0.00
01-11-13,01:10:36,67.5,3.00,2.90,3.42,0.31,0.00,0.00,0.00
01-11-13,01:11:36,67.5,3.00,2.78,3.82,0.67,0.00,0.00,0.00
01-11-13,01:12:36,67.5,3.00,2.28,2.62,0.26,0.00,0.00,0.00
01-11-13,01:13:36,67.5,3.00,2.46,3.02,0.45,0.00,0.00,0.00
01-11-13,01:14:36,67.5,3.00,2.48,2.82,0.20,0.00,0.00,0.00
01-11-13,01:15:36,67.5,3.00,2.28,2.82,0.39,0.00,0.00,0.00
01-11-13,01:16:36,67.5,3.00,2.78,3.82,0.61,0.00,0.00,0.00
01-11-13,01:17:36,67.5,3.00,1.98,2.41,0.33,0.00,0.00,0.00
01-11-13,01:18:36,67.5,3.00,2.05,2.41,0.43,0.00,0.00,0.00
01-11-13,01:19:36,67.5,3.00,1.83,2.21,0.25,0.00,0.00,0.00
01-11-13,01:20:36,67.5,3.00,2.11,2.62,0.37,0.00,0.00,0.00
01-11-13,01:21:36,67.5,3.00,2.20,2.82,0.45,0.00,0.00,0.00
01-11-13,01:22:36,67.5,3.00,1.17,2.21,0.57,0.00,0.00,0.00
01-11-13,01:23:36,67.5,3.00,1.34,2.01,0.54,0.00,0.00,0.00
01-11-13,01:24:36,67.5,3.00,1.14,2.01,0.46,0.00,0.00,0.00
01-11-13,01:25:36,67.5,3.00,1.06,1.81,0.40,0.00,0.00,0.00
01-11-13,01:26:36,67.5,3.00,0.79,1.21,0.23,0.00,0.00,0.00
01-11-13,01:27:36,67.5,3.00,1.68,2.01,0.34,0.00,0.00,0.00
01-11-13,01:28:36,67.5,3.00,1.31,2.41,0.75,0.00,0.00,0.00
01-11-13,01:29:36,67.5,3.00,1.71,2.01,0.22,0.00,0.00,0.00
01-11-13,01:30:36,67.5,3.00,1.31,1.81,0.29,0.00,0.00,0.00
01-11-13,01:31:36,67.5,3.00,0.86,1.21,0.19,0.00,0.00,0.00
01-11-13,01:32:36,67.5,3.00,0.86,1.61,0.40,0.00,0.00,0.00
01-11-13,01:33:36,67.5,2.75,0.62,1.21,0.34,0.00,0.00,0.00
01-11-13,01:34:36,67.5,2.75,0.60,1.41,0.45,0.00,0.00,0.00
01-11-13,01:35:36,67.5,2.75,0.08,0.20,0.10,0.00,0.00,0.00
01-11-13,01:36:36,67.5,2.75,0.08,0.20,0.10,0.00,0.00,0.00
01-11-13,01:37:36,67.5,2.75,0.02,0.20,0.00,0.00,0.00,0.00
01-11-13,01:38:36,67.5,2.75,0.34,0.80,0.39,0.00,0.00,0.00
01-11-13,01:39:36,67.5,2.75,0.13,0.80,0.25,0.00,0.00,0.00
01-11-13,01:40:36,67.5,2.75,0.25,0.80,0.29,0.00,0.00,0.00
01-11-13,01:41:36,67.5,2.75,0.12,0.40,0.16,0.00,0.00,0.00
01-11-13,01:42:36,67.5,2.75,0.25,0.60,0.19,0.00,0.00,0.00
01-11-13,01:43:36,67.5,2.75,0.08,0.40,0.16,0.00,0.00,0.00
01-11-13,01:44:36,67.5,2.75,0.08,0.40,0.13,0.00,0.00,0.00
01-11-13,01:45:36,67.5,2.75,0.00,0.00,0.00,0.00,0.00,0.00
01-11-13,01:46:36,67.5,2.75,0.15,0.60,0.24,0.00,0.00,0.00
01-11-13,01:47:36,67.5,2.50,0.80,1.21,0.32,0.00,0.00,0.00
01-11-13,01:48:36,67.5,2.50,0.74,1.21,0.26,0.00,0.00,0.00
01-11-13,01:49:36,67.5,2.50,0.86,1.61,0.45,0.00,0.00,0.00
01-11-13,01:50:36,67.5,2.50,0.89,1.01,0.13,0.00,0.00,0.00
01-11-13,01:51:36,67.5,2.50,0.64,1.21,0.34,0.00,0.00,0.00
01-11-13,01:52:36,67.5,2.50,0.52,1.01,0.40,0.00,0.00,0.00
01-11-13,01:53:36,67.5,2.50,0.44,1.01,0.37,0.00,0.00,0.00
01-11-13,01:54:36,67.5,2.50,0.86,1.41,0.38,0.00,0.00,0.00
01-11-13,01:55:36,67.5,2.50,0.84,1.81,0.55,0.00,0.00,0.00
01-11-13,01:56:36,67.5,2.50,0.92,1.61,0.45,0.00,0.00,0.00
01-11-13,01:57:36,67.5,2.50,1.11,2.21,0.47,0.00,0.00,0.00
01-11-13,01:58:36,67.5,2.50,0.91,1.41,0.32,0.00,0.00,0.00
01-11-13,01:59:36,67.5,2.50,1.51,2.82,0.63,0.00,0.00,0.00
